fecha_de_extraccion,precio,producto,marca,supermercado,categoria,link,hora
2020-12-03,72.99,CANVAS COOKIES VAINILLA CON HARINA INTEGRAL 150 GR,CANVAS,LA AMISTAD,- DULCES SECAS,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/dulces-secas/canvas-cookies-vainilla-con-harina-integral-150-gr/,11:32:37
2020-12-03,74.99,PUREZA HARINA INTEGRAL 1 KG,PUREZA,LA AMISTAD,- HARINA INTEGRAL,https://tiendalaamistad.com.ar/tienda/almacen/harinas/harina-integral/pureza-harina-integral-1-kg/,11:32:36
2020-12-03,139.99,CACHAFAZ 225 GR GALL HARINA INTEGRAL Y ALGAR,CACHAFAZ,LA AMISTAD,- DULCES SECAS,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/dulces-secas/cachafaz-225-gr-gall-harina-integral-y-algar/,11:32:34
