FECHA,TMAX,TMIN,NOMBRE
22/11/20, 34.8, 11.2,SANTA ROSA DE CONLARA AERO
22/11/20, 39.0, 21.6,SANTIAGO DEL ESTERO AERO
22/11/20, 32.3, 14.0,SAUCE VIEJO AERO
22/11/20, 33.8, 14.8,SUNCHALES AERO
22/11/20, 29.0, 10.5,TANDIL AERO
22/11/20, 37.8, 23.6,TARTAGAL AERO
22/11/20,,,TERMAS DE RIO HONDO AERO
22/11/20, 36.0, 16.5,TINOGASTA
22/11/20, 29.0, 13.4,TRELEW AERO
22/11/20,,,TRENQUE LAUQUEN
22/11/20, 31.5, 14.2,TRES ARROYOS
22/11/20, 37.9, 19.4,TUCUMAN AERO
22/11/20, 17.0,  6.0,USHUAIA AERO
22/11/20, 30.2,  9.6,USPALLATA
22/11/20, 33.5, 13.5,VENADO TUERTO AERO
22/11/20, 35.1, 14.3,VICTORICA
22/11/20, 29.8, 13.2,VIEDMA AERO
22/11/20, 34.2, 12.6,VILLA DE MARIA DEL RIO SECO
22/11/20, 36.1, 16.3,VILLA DOLORES AERO
22/11/20, 29.0, 13.0,VILLA GESELL AERO
22/11/20, 34.4, 13.3,VILLA REYNOLDS AERO
21/11/20, 26.4, 18.3,AEROPARQUE AERO
21/11/20, 27.5,  9.0,AZUL AERO
21/11/20, 27.1, 11.9,BAHIA BLANCA AERO
21/11/20, 14.9,  9.0,BARILOCHE AERO
21/11/20,, -6.1,BASE BELGRANO II
21/11/20,  2.7, -2.9,BASE CARLINI (EX JUBANY)
21/11/20,  5.1,,BASE ESPERANZA
21/11/20,  3.7, -3.9,BASE MARAMBIO
21/11/20,  2.9, -2.3,BASE ORCADAS
21/11/20,  0.8, -4.4,BASE SAN MARTIN
21/11/20, 27.9, 11.0,BENITO JUAREZ AERO
21/11/20, 27.7, 13.5,BERNARDO DE IRIGOYEN AERO
21/11/20, 28.7, 11.5,BOLIVAR AERO
21/11/20, 27.5, 18.2,BUENOS AIRES OBSERVATORIO
21/11/20, 28.8, 14.7,CAMPO DE MAYO AERO
21/11/20, 36.0, 22.3,CATAMARCA AERO
21/11/20, 29.3, 15.5,CERES AERO
21/11/20, 33.6, 20.7,CHAMICAL AERO
21/11/20, 15.6,  9.6,CHAPELCO AERO
21/11/20, 33.5, 17.5,CHEPES
21/11/20, 33.0, 16.7,CHILECITO AERO
21/11/20, 28.0, 16.2,CIPOLLETTI
21/11/20, 28.5, 16.6,COMODORO RIVADAVIA AERO
21/11/20, 29.4, 15.5,CONCORDIA AERO
21/11/20, 28.9, 13.8,CORDOBA AERO
21/11/20, 30.4, 18.5,CORDOBA OBSERVATORIO
21/11/20, 26.6, 11.5,CORONEL PRINGLES AERO
21/11/20, 24.5, 12.6,CORONEL SUAREZ AERO
21/11/20, 33.4, 17.2,CORRIENTES AERO
21/11/20, 26.8, 11.1,DOLORES AERO
21/11/20, 18.2, 11.7,EL BOLSON AERO
21/11/20, 19.1,  9.2,EL CALAFATE AERO
21/11/20, 28.0, 17.3,EL PALOMAR AERO
21/11/20, 28.6, 14.2,EL TREBOL
21/11/20, 29.2, 14.0,ESCUELA DE AVIACION MILITAR AERO
21/11/20, 15.1,  8.0,ESQUEL AERO
21/11/20, 28.8, 17.7,EZEIZA AERO
21/11/20, 34.0, 16.8,FORMOSA AERO
21/11/20, 27.5, 15.0,GENERAL PICO AERO
21/11/20, 23.0, 12.0,GOBERNADOR GREGORES AERO
21/11/20, 29.4, 15.2,GUALEGUAYCHU AERO
21/11/20, 32.3, 16.5,IGUAZU AERO
21/11/20, 34.0, 13.0,ITUZAINGO
21/11/20, 29.5, 14.6,JACHAL
21/11/20, 33.6, 15.3,JUJUY AERO
21/11/20, 30.4, 12.7,JUJUY U N
21/11/20, 27.5, 13.1,JUNIN AERO
21/11/20, 26.6, 15.9,LA PLATA AERO
21/11/20, 22.8,  2.3,LA QUIACA OBSERVATORIO
21/11/20, 34.7, 18.7,LA RIOJA AERO
21/11/20, 29.3, 15.2,LABOULAYE AERO
21/11/20, 27.5, 14.8,LAS FLORES
21/11/20, 36.5, 19.0,LAS LOMITAS
21/11/20, 25.6,  5.8,MALARGUE AERO
21/11/20, 19.5,  7.2,MAQUINCHAO
21/11/20, 24.0, 10.2,MAR DEL PLATA AERO
21/11/20, 28.3, 12.8,MARCOS JUAREZ AERO
21/11/20, 29.0,,MARIANO MORENO AERO
21/11/20, 29.0, 16.3,MENDOZA AERO
21/11/20,, 13.6,MENDOZA OBSERVATORIO
21/11/20,,,MERCEDES AERO (CTES)
21/11/20, 28.0, 16.4,MERLO AERO
21/11/20, 33.0, 14.9,METAN
21/11/20, 30.0, 15.5,MONTE CASEROS AERO
21/11/20, 27.9, 16.6,MORON AERO
21/11/20, 26.6, 14.3,NEUQUEN AERO
21/11/20, 27.4, 13.6,NUEVE DE JULIO
21/11/20, 35.5, 16.5,OBERA
21/11/20, 26.3, 11.5,OLAVARRIA AERO
21/11/20, 36.5, 18.6,ORAN AERO
21/11/20, 28.8, 14.0,PARANA AERO
21/11/20, 21.0, 10.8,PASO DE INDIOS
21/11/20, 29.7, 15.9,PASO DE LOS LIBRES AERO
21/11/20, 26.3, 13.1,PEHUAJO AERO
21/11/20, 20.0,  8.6,PERITO MORENO AERO
21/11/20, 24.5, 12.3,PIGUE AERO
21/11/20, 29.7, 15.0,PILAR OBSERVATORIO
21/11/20, 33.0, 18.0,POSADAS AERO
21/11/20, 34.7, 16.0,PRESIDENCIA ROQUE SAENZ PE�A AERO
21/11/20, 27.0, 16.2,PUERTO DESEADO AERO
21/11/20, 26.4, 17.0,PUERTO MADRYN AERO
21/11/20, 25.0, 16.5,PUNTA INDIO B.A.
21/11/20, 29.7, 14.0,RAFAELA AERO
21/11/20, 30.5, 16.3,RECONQUISTA AERO
21/11/20, 33.9, 19.1,RESISTENCIA AERO
21/11/20, 29.2, 15.4,RIO COLORADO
21/11/20, 28.4, 14.0,RIO CUARTO AERO
21/11/20, 24.5,  7.0,RIO GALLEGOS AERO
21/11/20, 15.2,  5.8,RIO GRANDE B.A.
21/11/20, 38.5, 19.0,RIVADAVIA
21/11/20, 29.5, 15.5,ROSARIO AERO
21/11/20, 30.3, 11.0,SALTA AERO
21/11/20, 30.4, 18.8,SAN ANTONIO OESTE AERO
21/11/20, 29.5, 11.2,SAN CARLOS (MZA)
21/11/20, 28.4, 15.9,SAN FERNANDO AERO
21/11/20, 31.2, 15.3,SAN JUAN AERO
21/11/20, 25.9, 14.1,SAN JULIAN AERO
21/11/20, 28.5, 13.5,SAN LUIS AERO
21/11/20, 30.0, 14.0,SAN MARTIN (MZA)
21/11/20, 28.5, 11.1,SAN RAFAEL AERO
21/11/20, 25.2, 13.5,SANTA CRUZ AERO
21/11/20, 30.5, 15.5,SANTA ROSA AERO
21/11/20, 30.5, 14.8,SANTA ROSA DE CONLARA AERO
21/11/20, 37.1, 19.2,SANTIAGO DEL ESTERO AERO
21/11/20, 29.0, 15.6,SAUCE VIEJO AERO
21/11/20, 30.3, 14.0,SUNCHALES AERO
21/11/20, 27.5,  9.2,TANDIL AERO
21/11/20, 36.0, 20.0,TARTAGAL AERO
21/11/20, 36.2, 20.4,TERMAS DE RIO HONDO AERO
21/11/20, 33.5, 14.0,TINOGASTA
21/11/20, 28.2, 19.1,TRELEW AERO
21/11/20, 26.2, 13.4,TRENQUE LAUQUEN
21/11/20, 29.1, 13.3,TRES ARROYOS
21/11/20, 34.5, 17.0,TUCUMAN AERO
21/11/20, 19.7,  6.5,USHUAIA AERO
21/11/20, 27.0,  6.1,USPALLATA
21/11/20, 30.2, 14.2,VENADO TUERTO AERO
21/11/20, 29.3, 13.3,VICTORICA
21/11/20, 31.0, 17.4,VIEDMA AERO
21/11/20, 30.0, 13.5,VILLA DE MARIA DEL RIO SECO
21/11/20, 32.3, 14.1,VILLA DOLORES AERO
21/11/20, 25.0, 10.0,VILLA GESELL AERO
21/11/20, 29.4, 14.0,VILLA REYNOLDS AERO
20/11/20, 23.8, 17.6,AEROPARQUE AERO
20/11/20, 25.4,  6.9,AZUL AERO
20/11/20, 30.3, 14.0,BAHIA BLANCA AERO
20/11/20, 18.9,  7.4,BARILOCHE AERO
20/11/20,, -6.2,BASE BELGRANO II
20/11/20,  2.9, -2.7,BASE CARLINI (EX JUBANY)
20/11/20,  2.2, -1.2,BASE ESPERANZA
20/11/20,  3.7, -3.5,BASE MARAMBIO
20/11/20,  3.9, -2.5,BASE ORCADAS
20/11/20, -0.5, -5.0,BASE SAN MARTIN
20/11/20, 25.2,  9.8,BENITO JUAREZ AERO
20/11/20, 25.7, 14.0,BERNARDO DE IRIGOYEN AERO
